date,description,merchant_name,amount,type
2024-01-05,Morning Coffee,Starbucks,5.50,expense
2024-01-06,Weekly Groceries,Whole Foods,120.50,expense
2024-01-08,Gas Fill-up,Shell Gas Station,45.00,expense
2024-01-10,Netflix Subscription,Netflix,15.99,expense
2024-01-12,Lunch with friends,Chipotle,52.30,expense
2024-01-15,Monthly Salary,Employer,4500.00,income
2024-01-18,Electricity Bill,Electric Company,125.00,expense
2024-01-20,Ride to Airport,Uber,18.50,expense
2024-01-22,Tech Gadgets,Amazon,89.99,expense
2024-01-25,Movie Night,Cinema,32.00,expense
2024-02-02,Medicine,CVS Pharmacy,45.60,expense
2024-02-05,Dinner,Red Lobster,68.75,expense
2024-02-08,Monthly Gym,Planet Fitness,50.00,expense
2024-02-10,Gas Fill-up,Chevron,48.00,expense
2024-02-15,Monthly Salary,Employer,4500.00,income
2024-02-18,Internet Bill,Comcast,80.00,expense
2024-02-20,Food Delivery,Uber Eats,35.40,expense
2024-02-22,Index Fund Investment,Robinhood,500.00,expense
2024-02-25,Dinner Date,Outback Steakhouse,95.50,expense
2024-03-01,Groceries,Walmart,135.80,expense
2024-03-05,Coffee,Starbucks,6.00,expense
2024-03-08,Gas,Exxon,50.00,expense
2024-03-10,Concert Tickets,Ticketmaster,120.00,expense
2024-03-12,Lunch,Pizza Hut,42.15,expense
2024-03-15,Monthly Salary,Employer,4500.00,income
2024-03-18,Mobile Bill,Verizon,75.00,expense
2024-03-20,Ride Home,Uber,22.40,expense
2024-03-22,Online Course,Udemy,11.99,expense
2024-03-25,Celebration Dinner,The Cheesecake Factory,78.50,expense
2024-03-28,Kitchen Supplies,Amazon,64.99,expense
